tds,turbidity,pH,mq4,temperature,humidity,rain,oxygen_level
273.27,8.62,6.5,99.57,15.65,40.19,29.5,Low
313.85,0.89,7.52,43.7,18.61,88.1,55.48,High
321.08,5.76,8.95,44.16,21.1,30.29,5.97,Low
713.42,17.3,6.68,40.88,15.85,45.98,8.62,Low
709.22,4.69,5.42,81.46,39.66,40.28,55.95,Low
571.05,14.72,5.19,75.08,22.91,63.35,82.09,Low
166.01,13.95,7.36,58.25,36.13,74.92,86.26,Low
65.57,10.58,7.1,10.54,17.43,58.06,20.13,Low
641.87,5.68,7.91,65.55,36.06,34.66,12.49,Low
303.75,0.66,6.25,12.08,39.86,68.65,26.35,Low
524.31,14.24,6.14,67.24,34.95,30.15,33.02,Low
601.79,19.88,8.69,29.78,33.67,30.69,6.72,Low
629.73,1.36,6.19,31.21,23.7,69.57,50.21,Low
116.47,16.22,8.01,26.6,28.83,49.68,88.9,Low
520.15,3.8,6.71,23.54,16.08,87.58,60.63,Low
206.53,13.52,8.58,68.53,35.08,39.31,10.61,Low
609.98,7.46,8.08,99.3,15.8,35.25,20.44,Low
748.6,17.41,7.59,0.81,13.34,89.27,68.98,Low
689.28,7.04,6.17,2.39,27.36,75.74,81.89,Low
470.43,11.95,8.04,89.89,14.07,45.46,60.63,Low
730.21,18.48,7.42,42.58,13.26,45.88,62.75,Low
378.92,6.63,6.77,54.84,11.14,87.15,34.95,Low
158.1,15.85,8.95,66.38,23.27,37.74,44.95,Low
624.88,8.35,5.61,57.09,27.05,89.91,85.4,Low
782.39,1.09,8.97,42.29,12.52,76.64,81.66,Low
445.42,0.1,7.54,92.51,21.97,80.68,82.28,Low
372.35,16.73,5.0,50.25,22.42,82.89,94.36,Low
589.93,19.2,8.36,2.73,12.33,44.18,48.51,Low
613.57,6.76,5.49,73.36,24.5,45.48,58.55,Low
73.22,7.28,6.53,38.27,37.93,41.0,8.97,High
89.94,18.38,6.08,96.39,35.88,70.27,70.52,Low
257.0,5.62,5.2,55.36,25.01,61.78,10.28,Low
276.58,5.18,7.9,63.4,36.65,65.17,31.52,Low
375.26,18.97,7.22,29.02,29.51,38.45,50.12,Low
82.96,15.6,6.16,95.3,13.65,38.85,24.31,Low
405.75,13.11,6.9,82.42,20.25,44.67,61.67,Low
246.07,18.2,5.79,80.17,36.2,88.07,48.09,Low
658.48,5.69,8.8,90.53,34.36,72.46,44.46,Low
62.55,8.29,6.7,49.42,18.08,59.99,83.25,High
715.1,3.95,7.52,4.27,38.32,67.93,39.27,Low
89.55,10.7,5.4,97.94,30.28,78.65,68.8,Low
514.25,13.05,7.55,2.66,35.56,83.0,95.89,Low
181.01,15.94,5.53,27.53,13.91,52.5,66.78,Low
108.78,12.16,7.93,35.33,11.23,50.01,22.46,Low
625.36,4.06,7.61,75.09,37.81,30.2,32.31,Low
529.7,13.06,6.28,82.07,29.48,70.96,16.79,Low
582.47,2.48,6.68,29.45,18.9,69.68,99.98,Low
182.76,6.72,8.43,59.01,12.33,72.87,9.35,Low
246.06,7.88,5.53,94.83,21.85,56.47,60.45,Low
231.17,6.66,6.41,87.26,37.78,51.02,69.37,Low
662.52,14.76,6.72,38.16,12.19,68.48,47.73,Low
478.29,9.77,5.35,45.07,17.74,44.86,29.62,Low
131.24,10.89,5.81,45.77,26.22,80.77,43.39,Low
95.41,15.44,6.05,38.6,38.05,34.04,91.19,Low
224.03,14.62,8.9,56.84,34.23,87.01,88.7,Low
146.18,10.17,5.7,69.12,20.27,61.51,53.1,Low
622.91,3.99,7.37,77.53,14.79,36.58,56.31,Low
324.98,10.57,5.02,44.1,33.71,52.53,70.15,Low
397.49,19.72,8.29,82.34,34.2,81.06,27.08,Low
521.4,6.77,8.58,11.53,18.23,69.95,1.65,Low
638.26,1.32,5.01,46.52,16.77,37.89,84.07,Low
254.42,14.4,6.06,37.68,36.13,68.24,49.33,Low
320.85,7.16,5.36,45.01,37.78,43.58,77.5,Low
359.47,11.56,7.74,60.19,18.44,48.73,0.76,Low
58.1,12.19,6.64,96.52,31.22,41.05,33.36,Low
496.09,14.04,7.07,48.71,14.19,65.14,53.94,Low
511.88,0.8,7.35,57.07,35.25,50.29,19.41,Low
556.47,18.01,6.49,82.72,21.29,53.33,57.48,Low
699.09,19.75,6.05,39.78,22.94,44.8,27.34,Low
366.85,7.93,8.91,30.53,25.61,34.74,59.14,Low
455.45,9.89,7.21,66.99,36.84,87.23,16.23,Low
536.63,7.84,8.26,51.18,17.03,40.29,29.34,Low
379.92,15.87,5.15,26.77,36.69,76.51,91.06,Low
799.4,19.99,5.68,78.55,13.31,35.05,46.19,Low
233.57,19.59,8.15,11.82,23.63,72.5,71.1,Low
591.9,3.55,8.94,72.39,33.17,70.24,48.6,Low
647.39,0.16,8.0,11.63,22.36,68.68,7.86,Low
369.0,12.77,7.71,5.57,14.13,78.59,65.72,Low
741.62,10.0,7.93,66.83,35.28,61.16,94.16,Low
651.97,10.15,6.75,46.23,25.53,62.06,91.94,Low
84.61,17.9,8.27,82.54,32.69,66.32,5.0,Low
401.2,12.61,8.52,92.9,38.4,32.58,14.3,Low
500.25,10.79,6.35,51.91,24.77,33.98,53.44,Low
141.61,18.4,7.27,44.74,24.88,66.53,28.73,Low
512.14,8.54,6.65,6.85,31.29,54.49,68.83,Low
359.93,18.08,8.62,74.64,38.71,68.61,38.15,Low
739.95,16.57,5.1,94.09,23.59,44.21,36.03,Low
766.49,1.55,6.79,14.32,16.74,44.5,20.45,Low
81.94,4.64,5.48,7.68,16.41,52.05,75.62,Low
181.32,14.77,7.11,15.78,20.46,35.84,99.95,Low
270.34,2.23,7.4,85.77,17.84,34.07,12.49,Low
504.18,17.98,6.43,40.27,14.1,47.23,81.57,Low
431.39,2.02,6.92,54.64,26.1,73.6,61.82,Low
240.53,17.49,8.4,88.79,27.74,58.64,19.62,Low
295.58,4.51,7.86,64.17,36.12,65.13,9.64,Low
77.04,12.23,5.75,48.2,26.94,55.75,39.87,Low
334.54,0.5,7.82,11.22,28.36,73.08,76.72,High
777.09,9.38,5.62,79.74,37.86,40.07,97.01,Low
780.55,8.53,6.17,52.37,13.81,55.76,65.64,Low
252.54,17.47,8.02,19.67,13.94,49.08,27.95,Low
691.46,4.74,5.19,9.79,30.62,80.41,95.24,Low
56.58,13.11,7.4,95.31,14.06,72.5,32.12,Low
518.56,5.53,8.51,4.5,35.68,63.68,63.75,Low
183.94,16.9,8.48,5.66,22.48,37.2,67.12,Low
557.08,16.15,5.36,59.14,38.47,66.15,29.57,Low
412.51,11.4,6.75,87.55,13.05,45.51,36.18,Low
709.88,19.78,8.09,60.79,25.02,75.56,41.4,Low
587.08,18.34,7.96,33.8,25.33,85.62,21.97,Low
275.33,19.36,6.81,44.3,30.64,49.14,56.06,Low
210.07,8.37,7.98,24.21,19.05,65.29,17.68,High
218.75,2.5,6.58,69.69,20.38,72.92,55.66,Low
424.99,10.48,8.32,59.4,37.45,77.53,0.45,Low
502.29,14.33,8.56,80.16,15.63,68.41,23.23,Low
271.36,10.26,6.2,88.62,33.31,43.81,50.54,Low
609.12,11.1,7.29,55.49,20.88,70.27,54.62,Low
421.72,0.2,7.16,67.34,19.11,69.43,34.17,Low
452.35,18.74,8.2,42.76,34.36,47.14,88.08,Low
240.87,15.93,7.29,96.07,27.87,67.55,6.94,Low
482.69,13.16,6.06,87.28,11.19,80.91,7.37,Low
552.6,6.39,6.3,83.18,36.44,55.73,48.56,Low
264.32,7.1,8.15,60.99,30.02,50.64,95.04,Low
154.32,1.12,7.31,59.02,11.46,77.81,70.64,Low
271.07,7.64,8.13,41.92,31.98,43.13,32.43,High
402.64,13.8,5.6,13.14,24.07,77.02,26.81,Low
364.33,11.43,8.87,71.07,30.05,71.02,35.54,Low
411.56,8.12,5.52,41.05,15.46,56.96,62.42,Low
358.01,10.51,7.98,46.54,30.48,50.37,3.43,Low
295.29,17.81,7.84,58.0,23.78,36.86,78.71,Low
284.46,16.67,6.54,96.09,20.41,76.27,67.54,Low
740.76,15.67,5.78,11.94,11.95,80.2,99.04,Low
253.0,10.69,6.18,97.45,21.01,84.64,49.65,Low
188.47,6.47,7.13,53.16,37.78,55.46,92.66,Low
613.86,1.6,5.46,81.27,14.27,78.86,27.11,Low
244.15,12.73,8.42,39.7,29.57,85.59,77.81,Low
222.65,12.75,6.28,43.17,31.95,77.79,18.92,Low
491.39,4.21,6.75,65.39,27.21,69.71,39.4,Low
73.1,4.92,8.05,19.84,21.15,33.48,41.93,High
146.9,2.95,7.81,39.48,24.73,38.11,79.81,High
307.17,5.39,8.92,20.99,39.1,65.64,2.4,Low
571.55,1.65,6.27,43.6,16.65,84.52,86.29,Low
766.33,3.19,5.92,3.76,11.49,50.74,45.23,Low
185.18,17.17,7.15,98.35,38.95,83.35,87.45,Low
499.67,10.26,7.98,86.4,20.31,86.96,86.19,Low
315.67,13.03,5.13,70.28,34.07,42.78,93.96,Low
115.44,2.26,8.1,24.5,25.84,70.31,41.25,High
487.48,9.62,7.99,8.49,11.34,59.73,42.94,High
435.13,4.06,7.01,83.34,35.06,52.38,39.45,Low
240.75,2.68,6.07,90.75,15.74,33.62,46.19,Low
339.96,7.21,8.5,24.99,38.1,89.82,17.28,High
140.27,19.79,6.04,60.36,33.33,85.78,86.46,Low
500.44,17.15,7.18,16.99,19.02,41.9,80.14,Low
184.17,13.36,8.56,31.95,36.93,72.07,12.79,Low
418.18,16.19,8.47,47.62,33.66,80.18,24.38,Low
768.14,12.63,8.69,61.13,12.2,74.24,92.36,Low
346.27,1.45,7.99,87.27,14.87,41.44,16.99,Low
796.72,4.81,5.77,75.1,12.56,83.59,15.31,Low
109.93,4.46,9.0,19.81,25.81,69.7,5.3,Low
79.89,19.14,5.98,62.43,37.21,70.08,23.03,Low
787.18,2.52,5.63,23.54,21.24,40.22,63.93,Low
576.61,15.1,8.42,72.0,17.75,32.46,87.5,Low
232.56,19.22,6.1,66.73,29.02,49.34,99.04,Low
340.24,15.45,5.32,76.94,23.45,65.92,63.56,Low
660.74,4.37,7.96,58.57,16.58,49.59,15.83,Low
700.81,17.11,6.1,22.36,17.13,49.01,41.47,Low
761.31,2.31,6.87,36.22,35.74,48.85,43.61,Low
164.93,12.75,7.48,88.0,39.02,80.84,58.93,Low
329.1,17.14,7.9,90.46,27.87,57.8,16.0,Low
755.63,9.91,6.52,19.76,26.99,77.33,76.7,Low
179.67,4.97,6.62,16.72,38.64,57.14,82.85,High
504.76,7.09,5.59,64.19,28.2,32.41,65.33,Low
300.96,6.34,6.3,12.54,12.04,66.19,3.16,Low
695.68,4.62,6.42,42.71,35.67,70.08,82.97,Low
356.17,14.06,7.86,98.69,32.39,42.14,83.21,Low
728.97,0.7,8.07,86.01,35.32,59.51,18.59,Low
230.8,4.98,7.83,90.52,36.71,45.44,31.19,Low
522.49,10.25,8.03,89.04,16.2,65.43,4.48,Low
280.24,11.64,8.05,7.74,31.54,57.95,7.76,Low
497.36,10.24,5.85,8.58,13.63,33.27,57.17,Low
439.01,1.89,7.29,42.23,27.02,54.93,62.8,High
457.28,7.79,7.35,99.95,21.53,72.77,5.1,Low
322.64,6.74,6.96,38.72,26.72,54.18,36.86,High
248.04,18.99,5.89,82.14,18.3,76.9,99.62,Low
273.41,7.99,6.28,84.62,38.51,55.29,15.98,Low
117.96,16.16,5.51,77.6,11.95,68.37,30.84,Low
101.82,16.22,5.87,4.44,29.36,44.81,90.06,Low
530.55,12.48,6.18,72.54,25.72,78.78,61.94,Low
569.76,16.88,6.82,21.54,34.22,73.68,37.14,Low
752.0,19.8,8.58,81.49,12.64,55.33,21.89,Low
689.22,13.29,5.3,65.05,25.09,63.44,63.08,Low
742.63,17.24,7.8,82.82,31.21,60.3,22.52,Low
409.31,10.3,6.25,29.16,12.2,74.75,11.67,Low
572.86,9.61,5.11,10.13,19.16,43.25,44.38,Low
263.94,4.62,7.08,77.45,30.42,84.88,22.23,Low
142.08,5.65,6.69,61.25,20.03,69.61,30.25,Low
339.23,7.76,8.11,8.07,23.43,41.38,91.83,High
384.14,14.54,9.0,18.52,29.84,58.44,83.45,Low
596.56,0.77,8.0,29.29,15.11,38.47,14.39,Low
745.8,3.47,8.58,46.35,15.7,38.07,71.15,Low
154.15,17.81,5.66,36.61,26.12,56.49,83.3,Low
154.04,12.82,7.89,25.84,24.97,50.94,10.84,Low
723.99,4.69,6.24,24.29,33.24,73.94,49.37,Low
64.68,7.24,6.85,80.17,12.84,76.75,93.65,Low
284.05,18.37,8.49,10.71,39.19,36.97,51.36,Low
668.15,0.3,6.22,72.27,18.64,62.58,77.83,Low
141.0,12.78,7.45,76.08,16.63,54.46,69.03,Low
87.12,7.26,8.1,23.5,25.01,70.52,76.38,High
294.96,3.22,7.08,12.41,33.87,56.56,28.73,High
363.43,0.06,7.91,41.45,32.19,48.14,42.96,High
611.7,15.95,7.33,66.45,13.11,74.29,97.34,Low
492.55,5.41,7.13,72.54,37.55,55.71,36.75,Low
621.89,2.13,7.8,43.02,28.43,35.21,36.73,Low
145.8,7.97,7.21,30.94,23.72,43.71,19.03,High
470.09,19.61,6.77,67.8,13.26,56.94,47.46,Low
301.95,14.7,6.33,71.54,12.99,58.5,75.22,Low
183.88,18.9,7.29,7.58,33.26,70.73,53.47,Low
579.77,14.84,7.65,18.59,14.86,65.19,74.36,Low
295.07,5.06,6.84,17.43,14.03,75.44,78.32,High
449.64,8.73,5.39,77.91,31.42,56.61,34.53,Low
552.22,0.76,8.36,47.84,38.83,65.51,13.26,Low
434.16,13.1,8.31,34.22,22.38,63.17,46.75,Low
174.65,14.43,6.13,10.06,28.18,41.46,90.98,Low
287.91,8.29,6.31,53.62,30.81,66.58,45.67,Low
784.43,13.13,6.75,60.1,23.14,30.17,76.15,Low
60.54,2.03,5.42,83.64,12.69,58.8,17.13,Low
594.29,18.75,8.75,32.24,37.62,70.29,68.71,Low
431.04,10.86,6.93,18.9,23.08,51.39,45.95,Low
187.26,8.79,6.1,58.9,10.38,73.83,92.46,Low
579.98,3.87,7.33,26.25,33.44,81.13,44.72,Low
751.83,1.95,7.46,53.25,19.65,77.23,52.95,Low
257.51,14.38,6.15,61.4,27.09,33.5,88.41,Low
94.46,3.8,5.73,23.0,33.58,59.12,98.57,Low
51.71,8.34,6.32,74.45,31.43,49.49,19.1,Low
704.99,1.55,8.01,70.87,26.13,53.94,78.04,Low
347.38,18.37,5.55,40.75,10.01,45.78,55.72,Low
468.18,3.54,6.59,92.64,33.9,80.37,31.08,Low
489.46,1.05,6.25,52.52,19.77,35.7,41.39,Low
163.57,11.73,6.29,39.23,33.57,37.32,41.62,Low
167.17,11.65,8.72,85.68,27.48,63.73,19.54,Low
202.69,0.72,6.27,86.88,27.84,79.22,35.08,Low
434.03,10.53,7.11,33.82,18.69,74.16,4.23,Low
113.61,2.78,8.32,87.48,32.11,50.74,70.16,Low
796.68,8.13,5.08,1.93,15.73,76.36,96.13,Low
206.39,17.27,7.17,52.0,16.78,45.03,13.18,Low
541.6,17.65,7.12,92.01,11.89,72.88,74.95,Low
509.39,12.35,5.08,85.41,18.33,73.69,67.11,Low
314.57,12.34,6.31,12.3,39.46,38.97,98.76,Low
748.74,5.49,5.22,1.42,28.28,44.13,49.52,Low
210.5,2.38,5.27,43.85,12.81,51.45,75.91,Low
484.69,14.6,5.42,74.29,24.88,77.53,22.43,Low
262.53,7.06,6.42,13.26,15.2,33.73,36.51,Low
567.54,0.38,8.67,72.08,20.74,47.21,27.42,Low
504.08,9.21,8.51,19.73,14.87,61.62,49.6,Low
64.56,2.39,5.93,60.64,13.75,49.04,64.85,Low
553.43,14.39,8.74,30.37,12.16,30.61,91.26,Low
738.44,13.28,6.11,40.54,30.01,83.05,76.24,Low
331.54,8.64,6.57,96.45,20.99,70.75,8.38,Low
85.41,19.32,7.98,24.56,16.78,72.9,85.54,Low
279.53,1.43,7.57,42.57,17.09,89.99,14.77,High
717.78,4.29,6.3,88.81,26.83,74.17,89.49,Low
262.51,2.97,7.82,55.14,29.31,36.19,36.77,Low
349.17,19.23,6.99,24.66,25.16,39.79,74.65,Low
161.36,16.31,5.2,0.16,21.62,89.63,44.94,Low
273.65,12.71,6.06,33.49,15.57,78.55,13.92,Low
691.85,3.77,6.6,39.65,26.82,56.23,80.79,Low
542.92,19.58,6.1,94.51,38.73,71.31,48.56,Low
619.93,14.65,8.19,34.7,10.45,64.55,39.33,Low
415.2,11.14,8.89,58.72,22.87,38.84,39.04,Low
636.43,9.26,7.17,94.9,13.74,48.71,11.96,Low
182.29,16.42,5.13,72.96,23.31,39.74,10.58,Low
428.33,11.42,6.62,32.87,28.96,64.53,25.4,Low
622.42,7.53,8.79,98.15,19.4,41.52,41.34,Low
713.55,5.15,8.31,58.52,38.56,75.92,2.99,Low
91.51,4.77,5.16,37.37,10.09,40.45,59.65,Low
326.86,10.98,7.99,92.92,25.56,58.14,64.75,Low
123.63,2.59,8.04,1.31,25.79,67.21,49.19,High
397.52,17.16,6.6,87.17,12.72,48.35,87.87,Low
136.43,5.05,5.41,5.82,36.35,50.24,29.28,Low
686.16,2.26,5.62,68.92,28.5,54.73,63.22,Low
253.12,17.27,5.33,93.47,20.06,60.5,76.74,Low
596.88,12.2,7.07,72.12,27.38,38.48,74.68,Low
712.19,3.61,8.2,83.04,17.81,41.94,78.8,Low
709.68,6.91,5.89,38.86,25.59,87.27,36.67,Low
487.01,1.85,8.18,57.62,37.74,81.61,53.24,Low
277.78,15.3,6.7,77.93,31.65,52.73,95.44,Low
409.58,15.96,6.23,36.02,18.19,74.15,48.05,Low
697.19,4.05,7.15,87.7,32.95,57.33,33.06,Low
322.58,15.14,7.75,33.35,26.12,78.24,20.89,Low
416.3,10.02,8.67,79.75,10.7,75.66,9.7,Low
154.22,13.85,5.65,99.26,32.24,73.68,74.6,Low
799.67,6.71,6.16,68.65,25.96,49.45,76.37,Low
72.62,19.0,8.57,5.36,11.82,36.31,46.8,Low
710.08,18.91,7.08,98.68,31.17,79.46,63.56,Low
221.97,17.06,6.86,60.88,28.26,44.53,88.49,Low
159.52,3.54,7.56,10.43,11.44,49.28,21.7,High
771.93,14.32,6.51,83.38,34.31,39.57,58.52,Low
621.48,13.34,8.05,21.31,38.77,67.35,46.75,Low
792.19,13.84,8.24,88.98,22.95,77.15,66.84,Low
656.49,9.52,6.09,81.78,38.68,52.39,83.54,Low
244.7,12.99,7.57,91.98,21.22,66.6,21.54,Low
294.38,11.99,6.09,82.48,21.86,75.21,43.28,Low
454.53,13.56,5.1,32.3,28.49,52.69,48.71,Low
685.53,6.41,7.99,6.17,18.05,61.75,18.56,Low
131.24,10.1,6.93,17.92,18.92,34.99,39.68,Low
474.42,15.69,6.55,88.62,16.71,66.64,70.88,Low
63.8,15.47,8.02,91.36,31.76,35.72,84.45,Low
456.68,10.69,6.96,41.75,33.84,87.1,25.16,Low
470.17,11.08,8.23,20.06,37.73,32.75,14.83,Low
511.26,9.34,7.51,4.53,18.85,34.41,29.73,Low
279.37,9.85,6.14,90.18,13.33,76.33,11.75,Low
224.68,9.15,6.11,0.72,12.71,66.61,77.13,Low
344.89,13.82,7.8,94.81,13.45,75.14,24.5,Low
799.31,9.18,6.16,22.97,22.46,49.31,38.55,Low
757.33,12.93,5.83,39.94,15.89,43.47,3.75,Low
706.87,14.67,7.56,34.42,30.07,46.23,89.71,Low
587.32,14.91,7.08,93.36,21.06,37.06,67.26,Low
445.09,15.59,6.72,88.04,30.6,36.74,23.98,Low
762.26,19.07,6.46,92.47,29.66,35.87,5.29,Low
169.19,19.45,7.33,93.33,24.87,47.01,15.5,Low
165.2,5.88,5.52,48.1,20.5,42.41,54.19,Low
186.48,10.93,6.51,13.18,19.19,51.87,67.17,Low
566.25,1.48,7.32,86.36,32.48,49.47,29.75,Low
609.75,11.99,8.62,48.27,38.23,33.53,41.63,Low
499.1,3.85,6.97,78.27,13.06,63.23,17.26,Low
567.74,19.5,8.77,14.0,12.19,37.3,33.19,Low
562.57,5.51,8.22,38.14,12.95,81.4,94.65,Low
115.43,0.27,5.36,73.16,36.77,84.52,97.52,Low
479.63,2.36,7.95,68.9,14.82,40.05,71.7,Low
701.22,8.0,6.8,96.43,23.18,86.07,61.13,Low
452.69,13.28,6.02,4.29,27.47,50.22,97.49,Low
776.08,13.29,8.79,76.36,20.34,44.66,74.55,Low
587.08,19.51,8.2,14.87,16.12,62.62,78.47,Low
50.56,19.42,7.72,34.81,25.84,36.12,83.89,Low
795.32,8.07,6.68,9.48,14.05,30.49,74.84,Low
643.82,7.46,6.05,35.7,26.64,81.87,80.98,Low
201.33,2.41,7.85,74.99,34.19,76.38,59.55,Low
501.64,16.49,8.61,10.13,36.63,75.57,20.12,Low
55.09,10.16,7.35,73.86,22.28,34.86,33.16,Low
327.58,0.3,5.27,78.14,24.34,57.42,3.14,Low
717.73,14.16,5.9,80.03,13.5,85.43,68.14,Low
605.28,12.32,5.35,74.83,21.76,31.55,12.04,Low
258.21,8.58,6.16,1.0,22.38,66.21,43.06,Low
392.01,12.34,5.31,25.35,19.95,65.26,75.76,Low
483.47,5.13,8.51,74.3,32.19,54.28,13.64,Low
445.9,13.96,5.84,16.39,30.17,40.12,30.48,Low
154.35,13.94,7.06,30.63,39.16,85.59,71.02,Low
577.47,18.3,8.11,27.07,34.72,30.45,83.7,Low
517.3,19.88,5.89,42.98,33.92,73.43,44.79,Low
770.96,18.64,5.01,93.73,38.9,32.42,92.15,Low
509.18,10.83,5.52,37.98,21.0,62.11,3.55,Low
313.97,18.1,6.64,67.41,28.52,52.47,30.7,Low
577.05,4.99,6.83,65.46,30.13,73.24,83.51,Low
361.53,15.38,8.63,35.49,25.89,72.32,7.42,Low
165.44,19.03,6.22,70.09,10.36,89.45,60.38,Low
493.84,14.65,6.46,16.87,12.1,53.64,98.35,Low
293.5,5.14,6.05,28.58,12.76,45.51,78.38,Low
317.81,9.34,7.3,38.8,34.76,58.59,70.81,High
580.55,6.79,7.69,83.29,19.17,59.46,47.97,Low
797.67,8.56,5.7,32.72,12.94,84.64,99.67,Low
421.65,5.1,7.54,32.62,33.05,86.93,79.32,High
67.13,19.26,8.25,20.52,37.67,85.83,4.04,Low
379.2,5.4,8.27,13.05,31.12,52.0,51.87,High
662.87,4.57,6.5,5.58,14.88,55.4,71.76,Low
248.86,10.92,5.49,34.41,20.82,38.41,55.51,Low
272.45,13.24,8.94,70.59,22.04,37.03,48.06,Low
700.84,7.08,5.22,43.56,29.49,64.8,97.83,Low
696.86,4.19,6.84,94.92,35.07,77.68,71.04,Low
676.99,10.34,7.28,82.81,37.25,63.01,95.69,Low
607.46,4.49,6.93,60.24,36.19,35.44,55.63,Low
712.86,8.26,8.38,55.31,22.09,46.3,25.09,Low
66.89,17.58,8.25,76.03,25.63,54.01,74.02,Low
564.73,14.94,5.49,64.24,28.78,58.69,91.34,Low
502.21,0.72,7.38,91.85,19.75,75.27,92.15,Low
515.86,8.54,5.41,13.47,35.87,41.26,91.42,Low
66.49,8.22,6.83,29.65,37.9,88.55,58.63,High
769.71,1.59,6.68,71.44,31.23,70.78,33.36,Low
275.08,7.75,5.6,81.8,26.33,48.79,0.24,Low
478.92,16.78,5.69,82.45,34.99,49.33,88.75,Low
398.49,12.38,7.37,14.55,34.33,62.4,97.66,Low
384.41,7.83,7.8,21.34,28.31,85.21,86.04,High
63.97,1.9,5.3,79.47,36.47,58.24,81.11,Low
162.22,19.04,8.52,98.75,23.63,38.26,44.49,Low
616.96,19.12,8.72,28.49,37.8,36.86,20.78,Low
295.48,10.74,5.32,62.3,29.67,71.66,60.73,Low
106.47,16.85,7.83,54.15,38.72,47.26,93.5,Low
719.31,15.05,5.8,6.97,11.39,41.77,50.97,Low
527.47,0.76,8.15,99.64,16.36,70.97,17.3,Low
554.46,17.22,6.64,42.24,31.8,58.92,80.15,Low
122.47,8.49,7.88,52.15,35.34,88.96,92.17,Low
638.31,0.75,7.3,4.27,21.86,39.73,85.1,Low
623.23,17.21,5.76,22.49,28.29,31.49,43.72,Low
355.62,0.84,5.52,40.01,37.22,80.55,15.32,Low
287.65,15.82,6.96,62.76,27.28,41.23,27.13,Low
619.1,10.68,7.97,92.08,38.18,87.22,69.36,Low
292.3,0.41,6.71,5.42,31.86,85.88,42.14,High
309.34,7.85,6.94,52.96,22.41,80.4,48.72,Low
190.21,15.88,7.59,73.82,33.88,33.61,62.52,Low
322.14,17.87,6.07,63.42,13.76,67.03,2.71,Low
750.97,15.3,5.03,3.55,16.51,86.64,39.67,Low
492.7,15.15,5.83,6.61,17.44,72.67,10.27,Low
288.49,1.43,7.94,42.02,26.17,86.32,63.22,High
176.41,12.75,6.71,41.31,21.07,47.19,37.98,Low
573.9,2.43,6.18,56.02,20.4,70.32,95.56,Low
723.44,4.19,6.2,41.4,29.01,67.97,45.57,Low
342.18,15.26,5.85,65.07,22.4,62.5,78.8,Low
424.06,1.61,7.73,69.79,37.56,88.13,72.6,Low
528.5,14.1,5.48,32.71,24.51,75.92,38.16,Low
673.89,0.3,6.77,80.35,19.44,45.6,51.07,Low
181.29,7.63,6.13,90.36,29.57,71.22,36.51,Low
164.2,17.69,8.4,54.79,23.17,60.88,38.68,Low
391.62,18.31,8.91,82.91,34.66,82.22,15.18,Low
520.93,14.04,8.23,98.35,33.3,82.26,62.77,Low
575.29,3.42,7.45,96.16,37.42,86.12,14.96,Low
353.53,2.95,7.27,98.15,33.32,87.22,91.43,Low
623.38,7.07,5.29,26.07,14.69,36.51,13.86,Low
528.04,8.28,8.74,81.54,39.49,46.15,94.67,Low
366.61,4.46,6.54,30.05,38.64,82.95,71.9,High
247.42,10.87,8.61,28.08,35.82,38.74,59.67,Low
536.33,12.62,7.08,14.29,32.94,68.94,8.29,Low
321.79,8.77,8.42,20.23,39.72,36.74,65.8,High
743.12,4.05,8.5,71.58,24.73,47.66,67.38,Low
776.53,13.55,8.96,64.28,18.96,87.34,95.21,Low
68.81,6.51,6.03,90.0,39.59,31.47,84.82,Low
501.67,0.14,7.93,6.9,16.8,78.06,60.98,Low
414.89,9.89,5.38,98.28,27.7,53.7,25.66,Low
782.49,5.68,5.18,55.59,15.16,43.43,70.36,Low
318.48,7.79,6.3,79.47,24.48,89.84,58.47,Low
275.89,8.45,8.96,8.04,23.48,85.91,95.44,Low
789.29,17.77,8.85,19.35,12.9,87.12,6.68,Low
796.16,3.25,5.79,6.61,27.08,62.89,26.5,Low
167.47,2.25,7.69,7.9,29.06,77.92,81.01,High
663.84,5.12,8.33,15.27,38.08,46.88,7.38,Low
378.52,4.99,6.97,32.07,35.54,52.76,61.48,High
354.54,12.05,8.63,56.08,19.54,61.41,55.86,Low
728.06,10.43,8.99,8.48,35.59,89.45,6.23,Low
172.16,17.95,6.89,18.24,13.32,74.52,34.64,Low
760.24,3.64,5.49,5.27,21.97,59.95,0.26,Low
206.64,18.89,5.39,86.6,36.42,74.53,37.32,Low
169.62,11.53,6.36,49.31,14.76,74.57,85.4,Low
495.66,4.27,7.87,42.32,39.99,31.72,98.9,High
686.19,2.85,6.72,88.6,27.79,78.39,9.62,Low
376.28,11.13,7.31,55.14,39.96,82.39,56.05,Low
155.63,9.66,8.57,77.1,21.24,31.5,26.73,Low
596.88,9.36,8.64,67.32,22.09,56.45,50.01,Low
445.42,6.37,6.6,80.94,17.63,37.38,21.97,Low
92.11,12.92,6.27,53.89,20.61,86.44,34.75,Low
259.61,5.69,5.72,42.24,19.25,48.83,53.76,Low
381.13,10.41,8.01,76.57,22.72,60.22,28.74,Low
194.66,4.54,5.91,37.11,34.66,45.83,13.27,Low
313.46,7.68,6.51,70.8,27.46,38.3,97.29,Low
188.82,7.36,6.1,45.3,36.77,80.03,95.2,Low
82.56,18.73,8.66,65.03,10.07,72.89,79.75,Low
